Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin
0,3,male,7.0,4,1,39.6875,
0,3,male,21.0,0,0,7.8,
1,1,female,49.0,1,0,76.7292,D33
1,2,female,29.0,1,0,26.0,
0,1,male,65.0,0,1,61.9792,B30
1,1,male,0.0,0,0,35.5,C52
1,2,female,21.0,0,0,10.5,
0,3,male,28.5,0,0,7.2292,
1,2,female,5.0,1,2,27.75,
0,3,male,11.0,5,2,46.9,
0,3,male,22.0,0,0,7.2292,
1,1,female,38.0,0,0,80.0,B28
0,1,male,45.0,1,0,83.475,C83
0,3,male,4.0,3,2,27.9,
0,1,male,0.0,0,0,27.7208,
1,3,male,0.0,1,1,15.2458,
1,2,female,29.0,0,0,10.5,F33
0,3,male,19.0,0,0,8.1583,
1,3,female,17.0,4,2,7.925,
0,3,male,26.0,2,0,8.6625,
0,2,male,32.0,0,0,10.5,
0,3,female,16.0,5,2,46.9,
0,2,male,21.0,0,0,73.5,
0,3,male,26.0,1,0,14.4542,
1,3,male,32.0,0,0,56.4958,
0,3,male,25.0,0,0,7.65,F G73
0,3,male,0.0,0,0,7.8958,
0,3,male,0.0,0,0,8.05,
1,2,male,0.83,0,2,29.0,
1,3,female,30.0,0,0,12.475,
0,3,male,22.0,0,0,9.0,
1,3,male,29.0,0,0,9.5,
1,3,female,0.0,0,0,7.7875,
0,1,male,28.0,0,0,47.1,
1,2,female,17.0,0,0,10.5,
1,3,female,33.0,3,0,15.85,
0,3,male,16.0,1,3,34.375,
0,3,male,0.0,0,0,8.05,
1,1,female,23.0,3,2,263.0,C23 C25 C27
0,3,male,24.0,0,0,8.05,
0,3,male,29.0,0,0,8.05,
0,3,male,20.0,0,0,7.8542,
0,1,male,46.0,1,0,61.175,E31
0,3,male,26.0,1,2,20.575,
0,3,male,59.0,0,0,7.25,
0,3,male,0.0,0,0,8.05,
0,1,male,71.0,0,0,34.6542,A5
1,1,male,23.0,0,1,63.3583,D10 D12
1,2,female,34.0,0,1,23.0,
0,2,male,34.0,1,0,26.0,
0,3,female,28.0,0,0,7.8958,
0,3,male,0.0,0,0,7.8958,
0,1,male,21.0,0,1,77.2875,D26
0,3,male,33.0,0,0,8.6542,
0,3,male,37.0,2,0,7.925,
0,3,male,28.0,0,0,7.8958,
1,3,female,21.0,0,0,7.65,
1,3,male,0.0,0,0,7.775,
0,3,male,38.0,0,0,7.8958,
1,3,female,0.0,1,0,24.15,
0,1,male,47.0,0,0,52.0,C110
0,3,female,14.5,1,0,14.4542,
0,3,male,22.0,0,0,8.05,
0,3,female,20.0,1,0,9.825,
0,3,female,17.0,0,0,14.4583,
0,3,male,21.0,0,0,7.925,
0,3,male,70.5,0,0,7.75,
0,2,male,29.0,1,0,21.0,
0,1,male,24.0,0,1,247.5208,B58 B60
0,3,female,2.0,4,2,31.275,
0,2,male,21.0,2,0,73.5,
0,3,male,0.0,0,0,8.05,
0,2,male,32.5,1,0,30.0708,
1,2,female,32.5,0,0,13.0,E101
0,1,male,54.0,0,1,77.2875,D26
1,3,male,12.0,1,0,11.2417,
0,3,male,0.0,0,0,7.75,
1,3,male,24.0,0,0,7.1417,
1,3,female,0.0,1,1,22.3583,F E69
0,3,male,45.0,0,0,6.975,
0,3,male,33.0,0,0,7.8958,
0,3,male,20.0,0,0,7.05,
0,3,female,47.0,1,0,14.5,
1,2,female,29.0,1,0,26.0,
0,2,male,25.0,0,0,13.0,
0,2,male,23.0,0,0,15.0458,
1,1,female,19.0,0,2,26.2833,D47
0,1,male,37.0,1,0,53.1,C123
0,3,male,16.0,0,0,9.2167,
0,1,male,24.0,0,0,79.2,B86
0,3,female,0.0,0,2,15.2458,
1,3,female,22.0,0,0,7.75,
1,3,female,24.0,1,0,15.85,
0,3,male,19.0,0,0,6.75,
0,2,male,18.0,0,0,11.5,
0,2,male,19.0,1,1,36.75,
1,3,male,27.0,0,0,7.7958,
0,3,female,9.0,2,2,34.375,
0,2,male,36.5,0,2,26.0,F2
0,2,male,42.0,0,0,13.0,
0,2,male,51.0,0,0,12.525,
1,1,female,22.0,1,0,66.6,C2
0,3,male,55.5,0,0,8.05,
0,3,male,40.5,0,2,14.5,
0,3,male,0.0,0,0,7.3125,
0,1,male,51.0,0,1,61.3792,
1,3,female,16.0,0,0,7.7333,
0,3,male,30.0,0,0,8.05,
0,3,male,0.0,0,0,8.6625,
0,3,male,0.0,8,2,69.55,
0,3,male,44.0,0,1,16.1,
1,2,female,40.0,0,0,15.75,
0,3,male,26.0,0,0,7.775,
0,3,male,17.0,0,0,8.6625,
0,3,male,1.0,4,1,39.6875,
1,3,male,9.0,0,2,20.525,
1,1,female,0.0,0,1,55.0,E33
0,3,female,45.0,1,4,27.9,
0,1,male,0.0,0,0,25.925,
0,3,male,28.0,0,0,56.4958,
0,1,male,61.0,0,0,33.5,B19
0,3,male,4.0,4,1,29.125,
1,3,female,1.0,1,1,11.1333,
0,3,male,21.0,0,0,7.925,
0,1,male,56.0,0,0,30.6958,A7
0,3,male,18.0,1,1,7.8542,
0,3,male,0.0,3,1,25.4667,
0,1,female,50.0,0,0,28.7125,C49
0,2,male,30.0,0,0,13.0,
0,3,male,36.0,0,0,0.0,
0,3,female,0.0,8,2,69.55,
0,2,male,0.0,0,0,15.05,
0,3,male,9.0,4,2,31.3875,
1,2,male,1.0,2,1,39.0,F4
1,3,female,4.0,0,2,22.025,
0,1,male,0.0,0,0,50.0,A32
1,3,female,0.0,1,0,15.5,
1,1,male,45.0,0,0,26.55,
0,3,male,40.0,1,1,15.5,
0,3,male,36.0,0,0,7.8958,
1,2,female,32.0,0,0,13.0,
0,2,male,19.0,0,0,13.0,
1,3,female,19.0,1,0,7.8542,
1,2,male,3.0,1,1,26.0,F2
1,1,female,44.0,0,0,27.7208,B4
1,1,female,58.0,0,0,146.5208,B80
0,3,male,0.0,0,0,7.75,
0,3,male,42.0,0,1,8.4042,
1,3,female,0.0,0,0,7.75,
0,2,female,24.0,0,0,13.0,
0,3,male,28.0,0,0,9.5,
0,3,male,0.0,8,2,69.55,
0,3,male,34.0,0,0,6.4958,
0,3,male,45.5,0,0,7.225,
1,3,male,18.0,0,0,8.05,
0,3,female,2.0,0,1,10.4625,G6
0,3,male,32.0,1,0,15.85,
1,3,male,26.0,0,0,18.7875,
1,3,female,16.0,0,0,7.75,
1,1,male,40.0,0,0,31.0,A31
0,3,male,24.0,0,0,7.05,
1,2,female,35.0,0,0,21.0,
0,3,male,22.0,0,0,7.25,
0,2,male,30.0,0,0,13.0,
0,3,male,0.0,1,0,7.75,
1,1,female,31.0,1,0,113.275,D36
1,3,female,27.0,0,0,7.925,
0,2,male,42.0,1,0,27.0,
1,1,female,32.0,0,0,76.2917,D15
0,2,male,30.0,0,0,10.5,
1,3,male,16.0,0,0,8.05,
0,2,male,27.0,0,0,13.0,
0,3,male,51.0,0,0,8.05,
0,3,male,0.0,0,0,7.8958,
1,1,male,38.0,1,0,90.0,C93
0,3,male,22.0,0,0,9.35,
1,2,male,19.0,0,0,10.5,
0,3,male,20.5,0,0,7.25,
0,2,male,18.0,0,0,13.0,
0,3,female,0.0,3,1,25.4667,
1,1,female,35.0,1,0,83.475,C83
0,3,male,29.0,0,0,7.775,
0,2,male,59.0,0,0,13.5,
1,3,female,5.0,4,2,31.3875,
0,2,male,24.0,0,0,10.5,
0,3,female,0.0,0,0,7.55,
0,2,male,44.0,1,0,26.0,
1,2,female,8.0,0,2,26.25,
0,2,male,19.0,0,0,10.5,
0,2,male,33.0,0,0,12.275,
0,3,female,0.0,1,0,14.4542,
1,3,female,0.0,1,0,15.5,
0,2,male,29.0,0,0,10.5,
0,3,male,22.0,0,0,7.125,
0,3,male,30.0,0,0,7.225,
0,1,male,44.0,2,0,90.0,C78
0,3,female,25.0,0,0,7.775,
1,2,female,24.0,0,2,14.5,
1,1,male,37.0,1,1,52.5542,D35
0,2,male,54.0,1,0,26.0,
0,3,male,0.0,0,0,7.25,
0,3,female,29.0,1,1,10.4625,G6
0,1,male,62.0,0,0,26.55,C87
0,3,male,30.0,1,0,16.1,
0,3,female,41.0,0,2,20.2125,
1,3,female,29.0,0,2,15.2458,
1,1,female,0.0,0,0,79.2,
1,1,female,30.0,0,0,86.5,B77
1,1,female,35.0,0,0,512.3292,
1,2,female,50.0,0,1,26.0,
0,3,male,0.0,0,0,7.75,
1,3,male,3.0,4,2,31.3875,
0,1,male,52.0,1,1,79.65,E67
0,1,male,40.0,0,0,0.0,B94
0,3,female,0.0,0,0,7.75,
0,2,male,36.0,0,0,10.5,
0,3,male,16.0,4,1,39.6875,
1,3,male,25.0,1,0,7.775,
1,1,female,58.0,0,1,153.4625,C125
1,1,female,35.0,0,0,135.6333,C99
0,1,male,0.0,0,0,31.0,
1,3,male,25.0,0,0,0.0,
1,2,female,41.0,0,1,19.5,
0,1,male,37.0,0,1,29.7,C118
1,3,female,0.0,0,0,7.75,
1,1,female,63.0,1,0,77.9583,D7
0,3,female,45.0,0,0,7.75,
0,2,male,0.0,0,0,0.0,
0,3,male,7.0,4,1,29.125,
1,3,female,35.0,1,1,20.25,
0,3,male,65.0,0,0,7.75,
0,3,male,28.0,0,0,7.8542,
0,3,male,16.0,0,0,9.5,
1,3,male,19.0,0,0,8.05,
0,1,male,0.0,0,0,26.0,A19
0,3,male,33.0,0,0,8.6625,
1,3,male,30.0,0,0,9.5,
0,3,male,22.0,0,0,7.8958,
1,2,male,42.0,0,0,13.0,
1,3,female,22.0,0,0,7.75,
1,1,female,26.0,0,0,78.85,
1,1,female,19.0,1,0,91.0792,B49
0,2,male,36.0,0,0,12.875,D
0,3,female,24.0,0,0,8.85,
0,3,male,24.0,0,0,7.8958,
0,1,male,0.0,0,0,27.7208,
0,3,male,23.5,0,0,7.2292,
0,1,female,2.0,1,2,151.55,C22 C26
1,1,male,0.0,0,0,30.5,C106
1,1,female,50.0,0,1,247.5208,B58 B60
1,3,female,0.0,0,0,7.75,
1,3,male,0.0,2,0,23.25,
0,3,male,19.0,0,0,0.0,
1,2,female,0.0,0,0,12.35,E101
0,3,male,0.0,0,0,8.05,
1,1,male,0.92,1,2,151.55,C22 C26
1,1,female,0.0,0,0,110.8833,
1,1,female,17.0,1,0,108.9,C65
0,2,male,30.0,1,0,24.0,
1,1,female,30.0,0,0,56.9292,E36
1,1,female,24.0,0,0,83.1583,C54
1,1,female,18.0,2,2,262.375,B57 B59 B63 B66
0,2,female,26.0,1,1,26.0,
0,3,male,28.0,0,0,7.8958,
0,2,male,43.0,1,1,26.25,
1,3,female,26.0,0,0,7.8542,
1,2,female,24.0,1,0,26.0,
0,2,male,54.0,0,0,14.0,
1,1,female,31.0,0,2,164.8667,C7
1,1,female,40.0,1,1,134.5,E34
0,3,male,22.0,0,0,7.25,
0,3,male,27.0,0,0,7.8958,
1,2,female,30.0,0,0,12.35,
1,2,female,22.0,1,1,29.0,
0,3,male,0.0,8,2,69.55,
1,1,female,36.0,0,0,135.6333,C32
0,3,male,61.0,0,0,6.2375,
1,2,female,36.0,0,0,13.0,D
1,3,female,31.0,1,1,20.525,
1,1,female,16.0,0,1,57.9792,B18
1,3,female,0.0,2,0,23.25,
0,1,male,45.5,0,0,28.5,C124
0,1,male,38.0,0,1,153.4625,C91
0,3,male,16.0,2,0,18.0,
1,1,female,0.0,1,0,133.65,
0,3,male,0.0,0,0,7.8958,
0,1,male,29.0,1,0,66.6,C2
1,1,female,41.0,0,0,134.5,E40
1,3,male,45.0,0,0,8.05,
0,1,male,45.0,0,0,35.5,T
1,2,male,2.0,1,1,26.0,F2
1,1,female,24.0,3,2,263.0,C23 C25 C27
0,2,male,28.0,0,0,13.0,
0,2,male,25.0,0,0,13.0,
0,2,male,36.0,0,0,13.0,
1,2,female,24.0,0,0,13.0,F33
1,2,female,40.0,0,0,13.0,
1,3,female,0.0,1,0,16.1,
1,3,male,3.0,1,1,15.9,
0,3,male,42.0,0,0,8.6625,
0,3,male,23.0,0,0,9.225,
0,1,male,0.0,0,0,35.0,C128
0,3,male,15.0,1,1,7.2292,
0,3,male,25.0,1,0,17.8,
0,3,male,0.0,0,0,7.225,
0,3,male,28.0,0,0,9.5,
1,1,female,22.0,0,1,55.0,E33
0,2,female,38.0,0,0,13.0,
1,3,female,0.0,0,0,7.8792,
1,3,female,0.0,0,0,7.8792,
0,3,male,40.0,1,4,27.9,
0,2,male,29.0,1,0,27.7208,
0,3,female,45.0,0,1,14.4542,
0,3,male,35.0,0,0,7.05,
0,3,male,0.0,1,0,15.5,
0,3,male,30.0,0,0,7.25,
1,1,female,60.0,1,0,75.25,D37
1,3,female,0.0,0,0,7.2292,
1,3,female,0.0,0,0,7.75,
1,1,female,24.0,0,0,69.3,B35
1,1,male,25.0,1,0,55.4417,E50
0,3,male,18.0,1,0,6.4958,
0,3,male,19.0,0,0,8.05,
0,1,male,22.0,0,0,135.6333,
0,3,female,3.0,3,1,21.075,
1,1,female,0.0,1,0,82.1708,
1,3,female,22.0,0,0,7.25,
0,1,male,27.0,0,2,211.5,C82
0,3,male,20.0,0,0,4.0125,
0,3,male,19.0,0,0,7.775,
1,1,female,42.0,0,0,227.525,
1,3,female,1.0,0,2,15.7417,
0,3,male,32.0,0,0,7.925,
1,1,female,35.0,1,0,52.0,
0,3,male,0.0,0,0,7.8958,
0,2,male,18.0,0,0,73.5,
0,3,male,1.0,5,2,46.9,
1,2,female,36.0,0,0,13.0,
0,3,male,0.0,0,0,7.7292,
1,2,female,17.0,0,0,12.0,
1,1,male,36.0,1,2,120.0,B96 B98
1,3,male,21.0,0,0,7.7958,
0,3,male,28.0,2,0,7.925,
1,1,female,23.0,1,0,113.275,D36
1,3,female,24.0,0,2,16.7,G6
0,3,male,22.0,0,0,7.7958,
0,3,female,31.0,0,0,7.8542,
0,2,male,46.0,0,0,26.0,
0,2,male,23.0,0,0,10.5,
1,2,female,28.0,0,0,12.65,
1,3,male,39.0,0,0,7.925,
0,3,male,26.0,0,0,8.05,
0,3,female,21.0,1,0,9.825,
0,3,male,28.0,1,0,15.85,
0,3,female,20.0,0,0,8.6625,
0,2,male,34.0,1,0,21.0,
0,3,male,51.0,0,0,7.75,
1,2,male,3.0,1,1,18.75,
0,3,male,21.0,0,0,7.775,
0,3,female,0.0,3,1,25.4667,
0,3,male,0.0,0,0,7.8958,
0,3,male,0.0,0,0,6.8583,
1,1,female,33.0,1,0,90.0,C78
0,2,male,0.0,0,0,0.0,
1,3,male,44.0,0,0,7.925,
0,3,female,0.0,0,0,8.05,
1,2,female,34.0,1,1,32.5,
1,2,female,18.0,0,2,13.0,
0,2,male,30.0,0,0,13.0,
0,3,female,10.0,0,2,24.15,
0,3,male,0.0,0,0,7.8958,
0,3,male,21.0,0,0,7.7333,
0,3,male,29.0,0,0,7.875,
0,3,female,28.0,1,1,14.4,
0,3,male,18.0,1,1,20.2125,
0,3,male,0.0,0,0,7.25,
1,2,female,28.0,1,0,26.0,
1,2,female,19.0,0,0,26.0,
0,3,male,0.0,0,0,7.75,
1,3,male,32.0,0,0,8.05,E10
1,1,male,28.0,0,0,26.55,C52
1,3,female,0.0,1,0,16.1,
1,2,female,42.0,1,0,26.0,
0,3,male,17.0,0,0,7.125,
0,1,male,50.0,1,0,55.9,E44
1,1,female,14.0,1,2,120.0,B96 B98
0,3,female,21.0,2,2,34.375,
1,2,female,24.0,2,3,18.75,
0,1,male,64.0,1,4,263.0,C23 C25 C27
0,2,male,31.0,0,0,10.5,
1,2,female,45.0,1,1,26.25,
0,3,male,20.0,0,0,9.5,
0,3,male,25.0,1,0,7.775,
1,2,female,28.0,0,0,13.0,
1,3,male,0.0,0,0,8.1125,
1,1,male,4.0,0,2,81.8583,A34
1,2,female,13.0,0,1,19.5,
1,1,male,34.0,0,0,26.55,
1,3,female,5.0,2,1,19.2583,
1,1,male,52.0,0,0,30.5,C104
0,2,male,36.0,1,2,27.75,
0,3,male,0.0,1,0,19.9667,
0,1,male,30.0,0,0,27.75,C111
1,1,male,49.0,1,0,89.1042,C92
0,3,male,0.0,0,0,8.05,
1,3,male,29.0,0,0,7.8958,
0,1,male,65.0,0,0,26.55,E38
1,1,female,0.0,1,0,51.8625,D21
1,2,female,50.0,0,0,10.5,
0,3,male,0.0,0,0,7.75,
1,1,male,48.0,0,0,26.55,E12
0,3,male,34.0,0,0,8.05,
0,1,male,47.0,0,0,38.5,E63
0,2,male,48.0,0,0,13.0,
0,3,male,0.0,0,0,8.05,
0,3,male,38.0,0,0,7.05,
0,2,male,0.0,0,0,0.0,
0,1,male,56.0,0,0,26.55,
0,3,male,0.0,0,0,7.725,
1,3,female,0.75,2,1,19.2583,
0,3,male,0.0,0,0,7.25,
0,3,male,38.0,0,0,8.6625,
1,2,female,33.0,1,2,27.75,
1,2,female,23.0,0,0,13.7917,D
0,3,female,22.0,0,0,9.8375,
0,1,male,0.0,0,0,52.0,A14
0,2,male,34.0,1,0,21.0,
0,3,male,29.0,1,0,7.0458,
0,3,male,22.0,0,0,7.5208,
1,3,female,2.0,0,1,12.2875,
0,3,male,9.0,5,2,46.9,
0,2,male,0.0,0,0,0.0,
0,3,male,50.0,0,0,8.05,
1,3,female,63.0,0,0,9.5875,
1,1,male,25.0,1,0,91.0792,B49
0,3,female,0.0,3,1,25.4667,
1,1,female,35.0,1,0,90.0,C93
0,1,male,58.0,0,0,29.7,B37
0,3,male,30.0,0,0,8.05,
1,3,male,9.0,1,1,15.9,
0,3,male,0.0,1,0,19.9667,
0,3,male,21.0,0,0,7.25,
0,1,male,55.0,0,0,30.5,C30
0,1,male,71.0,0,0,49.5042,
0,3,male,21.0,0,0,8.05,
0,3,male,0.0,0,0,14.4583,
1,1,female,54.0,1,0,78.2667,D20
0,3,male,0.0,0,0,15.1,
0,1,female,25.0,1,2,151.55,C22 C26
0,3,male,24.0,0,0,7.7958,
0,3,male,17.0,0,0,8.6625,
0,3,female,21.0,0,0,7.75,
0,3,female,0.0,0,0,7.6292,
0,3,female,37.0,0,0,9.5875,
1,1,female,16.0,0,0,86.5,B79
0,1,male,18.0,1,0,108.9,C65
1,2,female,33.0,0,2,26.0,
1,1,male,0.0,0,0,26.55,
0,3,male,28.0,0,0,22.525,
1,3,male,26.0,0,0,56.4958,
1,3,male,29.0,0,0,7.75,
0,3,male,0.0,0,0,8.05,
1,1,male,36.0,0,0,26.2875,E25
1,1,female,54.0,1,0,59.4,
0,3,male,24.0,0,0,7.4958,
0,1,male,47.0,0,0,34.0208,D46
1,2,female,34.0,0,0,10.5,F33
0,3,male,0.0,0,0,24.15,
1,2,female,36.0,1,0,26.0,
0,3,male,32.0,0,0,7.8958,
1,1,female,30.0,0,0,93.5,B73
0,3,male,22.0,0,0,7.8958,
0,3,male,0.0,0,0,7.225,
1,1,female,44.0,0,1,57.9792,B18
0,3,male,0.0,0,0,7.2292,
0,3,male,40.5,0,0,7.75,
1,2,female,50.0,0,0,10.5,
0,1,male,0.0,0,0,221.7792,C95
0,3,male,39.0,0,0,7.925,
0,2,male,23.0,2,1,11.5,
1,2,female,2.0,1,1,26.0,
0,3,male,0.0,0,0,7.2292,
0,3,male,17.0,1,1,7.2292,
1,3,female,0.0,0,2,22.3583,
0,3,female,30.0,0,0,8.6625,
1,2,female,7.0,0,2,26.25,
0,1,male,45.0,0,0,26.55,B38
1,1,female,30.0,0,0,106.425,
0,3,male,0.0,0,0,14.5,
1,1,female,22.0,0,2,49.5,B39
1,1,female,36.0,0,2,71.0,B22
0,3,female,9.0,4,2,31.275,
0,3,female,11.0,4,2,31.275,
1,2,male,32.0,1,0,26.0,
0,1,male,50.0,1,0,106.425,C86
0,1,male,64.0,0,0,26.0,
1,2,female,19.0,1,0,26.0,
1,2,male,0.0,0,0,13.8625,
0,3,male,33.0,1,1,20.525,
1,2,male,8.0,1,1,36.75,
1,1,male,17.0,0,2,110.8833,C70
0,2,male,27.0,0,0,26.0,
0,3,male,0.0,0,0,7.8292,
1,3,male,22.0,0,0,7.225,
1,3,female,22.0,0,0,7.775,
0,1,male,62.0,0,0,26.55,
1,1,female,48.0,1,0,39.6,A16
0,1,male,0.0,0,0,227.525,
1,1,female,39.0,1,1,79.65,E67
1,3,female,36.0,1,0,17.4,
0,3,male,0.0,0,0,7.75,
0,3,male,40.0,0,0,7.8958,
0,2,male,28.0,0,0,13.5,
0,3,male,0.0,0,0,8.05,
0,3,female,0.0,0,0,8.05,
0,3,male,24.0,2,0,24.15,
0,3,male,19.0,0,0,7.8958,
0,3,female,29.0,0,4,21.075,
0,3,male,0.0,0,0,7.2292,
1,3,male,32.0,0,0,7.8542,
1,2,male,62.0,0,0,10.5,
1,1,female,53.0,2,0,51.4792,C101
1,1,male,36.0,0,0,26.3875,E25
1,3,female,0.0,0,0,7.75,
0,3,male,16.0,0,0,8.05,
0,3,male,19.0,0,0,14.5,
1,2,female,34.0,0,0,13.0,
1,1,female,39.0,1,0,55.9,E44
0,3,female,0.0,1,0,14.4583,
1,3,male,32.0,0,0,7.925,
1,2,female,25.0,1,1,30.0,
1,1,female,39.0,1,1,110.8833,C68
0,2,male,54.0,0,0,26.0,
0,1,male,36.0,0,0,40.125,A10
0,3,male,0.0,0,0,8.7125,
1,1,female,18.0,0,2,79.65,E68
0,2,male,47.0,0,0,15.0,
1,1,male,60.0,1,1,79.2,B41
0,3,male,22.0,0,0,8.05,
0,3,male,0.0,0,0,8.05,
0,3,male,35.0,0,0,7.125,
1,1,female,52.0,1,0,78.2667,D20
0,3,male,47.0,0,0,7.25,
0,3,female,0.0,0,2,7.75,
0,2,male,37.0,1,0,26.0,
0,3,male,36.0,1,1,24.15,
1,2,female,0.0,0,0,33.0,
0,3,male,49.0,0,0,0.0,
0,3,male,0.0,0,0,7.225,
1,1,male,49.0,1,0,56.9292,A20
1,2,female,24.0,2,1,27.0,
0,3,male,0.0,0,0,7.8958,
0,1,male,0.0,0,0,42.4,
0,3,male,44.0,0,0,8.05,
1,1,male,35.0,0,0,26.55,
0,3,male,36.0,1,0,15.55,
0,3,male,30.0,0,0,7.8958,
1,1,male,27.0,0,0,30.5,
1,2,female,22.0,1,2,41.5792,
1,1,female,40.0,0,0,153.4625,C125
0,3,female,39.0,1,5,31.275,
0,3,male,0.0,0,0,7.05,
1,3,female,0.0,1,0,15.5,
0,3,male,0.0,0,0,7.75,
0,3,male,35.0,0,0,8.05,
1,2,female,24.0,1,2,65.0,
0,3,male,34.0,1,1,14.4,
0,3,female,26.0,1,0,16.1,
1,2,female,4.0,2,1,39.0,F4
0,2,male,26.0,0,0,10.5,
0,3,male,27.0,1,0,14.4542,
1,1,male,42.0,1,0,52.5542,D19
1,3,male,20.0,1,1,15.7417,
0,3,male,21.0,0,0,7.8542,
0,3,male,21.0,0,0,16.1,
0,1,male,61.0,0,0,32.3208,D50
0,2,male,57.0,0,0,12.35,
1,1,female,21.0,0,0,77.9583,D9
0,3,male,26.0,0,0,7.8958,
0,3,male,0.0,0,0,7.7333,
1,1,male,80.0,0,0,30.0,A23
0,3,male,51.0,0,0,7.0542,
1,1,male,32.0,0,0,30.5,B50
0,1,male,0.0,0,0,0.0,
0,3,female,9.0,3,2,27.9,
1,2,female,28.0,0,0,13.0,
0,3,male,32.0,0,0,7.925,
0,2,male,31.0,1,1,26.25,
0,3,female,41.0,0,5,39.6875,
0,3,male,0.0,1,0,16.1,
0,3,male,20.0,0,0,7.8542,
1,1,female,24.0,0,0,69.3,B35
0,3,female,2.0,3,2,27.9,
1,3,male,0.0,0,0,56.4958,
1,3,female,0.75,2,1,19.2583,
1,1,male,48.0,1,0,76.7292,D33
0,3,male,19.0,0,0,7.8958,
1,1,male,56.0,0,0,35.5,A26
0,3,male,0.0,0,0,7.55,
1,3,female,23.0,0,0,7.55,
0,3,male,0.0,0,0,7.8958,
1,2,female,18.0,0,1,23.0,
0,3,male,21.0,0,0,8.4333,
1,3,female,0.0,0,0,7.8292,
0,3,female,18.0,0,0,6.75,
0,2,male,24.0,2,0,73.5,
0,3,male,0.0,0,0,7.8958,
0,3,female,32.0,1,1,15.5,
0,2,male,23.0,0,0,13.0,
0,1,male,58.0,0,2,113.275,D48
1,1,male,50.0,2,0,133.65,
0,3,male,40.0,0,0,7.225,
0,1,male,47.0,0,0,25.5875,E58
0,3,male,36.0,0,0,7.4958,
1,3,male,20.0,1,0,7.925,
0,2,male,32.0,2,0,73.5,
0,2,male,25.0,0,0,13.0,
0,3,male,0.0,0,0,7.775,
0,3,male,43.0,0,0,8.05,
1,1,female,0.0,1,0,52.0,C126
1,2,female,40.0,1,1,39.0,
0,1,male,31.0,1,0,52.0,B71
0,2,male,70.0,0,0,10.5,
1,2,male,31.0,0,0,13.0,
0,2,male,0.0,0,0,0.0,
0,3,male,18.0,0,0,7.775,
0,3,male,24.5,0,0,8.05,
1,3,female,18.0,0,0,9.8417,
0,3,female,43.0,1,6,46.9,
1,1,male,36.0,0,1,512.3292,B51 B53 B55
0,3,female,0.0,0,0,8.1375,
1,1,male,27.0,0,0,76.7292,D49
0,3,male,20.0,0,0,9.225,
0,3,male,14.0,5,2,46.9,
0,2,male,60.0,1,1,39.0,
0,2,male,25.0,1,2,41.5792,
0,3,male,14.0,4,1,39.6875,
0,3,male,19.0,0,0,10.1708,
0,3,male,18.0,0,0,7.7958,
1,1,female,15.0,0,1,211.3375,B5
1,1,male,31.0,1,0,57.0,B20
1,3,female,4.0,0,1,13.4167,
1,3,male,0.0,0,0,56.4958,
0,3,male,25.0,0,0,7.225,
0,1,male,60.0,0,0,26.55,
0,2,male,52.0,0,0,13.5,
0,3,male,44.0,0,0,8.05,
1,3,female,0.0,0,0,7.7333,
0,1,male,49.0,1,1,110.8833,C68
0,3,male,42.0,0,0,7.65,F G63
1,1,female,18.0,1,0,227.525,C62 C64
